locality,trend_score
Lutzenberg,0.7648430107755505
Disentis/Mustér,0.7644003074116996
Huttwil,0.7636252866742288
Andermatt,0.7634233296128674
Altstätten,0.7620362483202816
La Punt Chamues-ch,0.7588310225404329
Rheinfelden,0.7567502738262883
Auenstein,0.7562532969952375
Böttstein,0.7542095337693706
Niederlenz,0.7511024553628647
Fribourg,0.7507815293628289
Chêne-Bourg,0.7504657310320215
Stocken-Höfen,0.7494024677296105
Le Landeron,0.747993553915115
Agno,0.7475933201112165
Noble-Contrée,0.7473109291766821
Bottighofen,0.7414046326785932
Surses,0.7413467808772273
Jegenstorf,0.7402240907368164
Silvaplana,0.7367576217014355
Saas-Balen,0.7323887199224912
Dietlikon,0.7258834460940699
Gunzgen,0.7251497042367838
Seeberg,0.7251497042367838
Vallorbe,0.7170539002427808
Gretzenbach,0.7162673714552841
Zermatt,0.7157398188337407
Unterseen,0.714522138032451
Safenwil,0.7136118393161636
Laufen,0.7105454375010665
Sachseln,0.7097882861447783
Dielsdorf,0.7089875942256915
Rue,0.708313824720073
Bellevue,0.708313824720073
Herznach-Ueken,0.7048416543604724
Lohn (SH),0.7048416543604724
Wattwil,0.7014542954354971
Unterentfelden,0.6953642801721611
Crans-Montana,0.6935175101697875
Füllinsdorf,0.6934810897646094
Erlenbach (ZH),0.6934585210962749
Bellinzona,0.6891369370697538
Lausanne,0.6871525302311318
Samedan,0.6851181495816039
Steg-Hohtenn,0.6850330890574257
Onex,0.6834698748733182
St. Margrethen,0.6827397304728191
Basel,0.6805903091088852
Oberkulm,0.6781315039378136
Zollikofen,0.6765513420673374
Obergoms,0.6762457228723401
Gersau,0.672383330216708
Egg,0.6691202076608772
Marly,0.6682452206918557
Oberuzwil,0.6661011084898194
Bad Ragaz,0.662610308753533
Niederhünigen,0.6614150659770566
Langenbruck,0.6581223430647246
Tresa,0.6512772156170742
Lungern,0.6477486350558183
Rüti (ZH),0.6459841266866392
Würenlingen,0.6444457508029349
Wallisellen,0.638045841719635
Delley-Portalban,0.635963328876726
Frauenfeld,0.6357893275127565
Vernayaz,0.6318478506298013
Chamoson,0.6306574199893922
Port-Valais,0.6300375570349211
Lancy,0.6293371502818138
Bellwald,0.627729617289684
Rebstein,0.6265589038793681
Homburg,0.6240745400507034
Mörigen,0.6240080496799529
Regensberg,0.6240080496799529
Crassier,0.6240080496799529
Krauchthal,0.6240080496799529
Hofstetten-Flüh,0.623274570336065
Castel San Pietro,0.6230192713666852
Broc,0.6203094890708877
Lugano,0.6151222783224446
Triengen,0.6134787618737826
Grandson,0.6130760000331951
Ponte Capriasca,0.6129681005192107
Gams,0.6078378626756009
Oberentfelden,0.6061437462685614
Zweisimmen,0.6050304235414072
Plateau de Diesse,0.6045264342068039
Ersigen,0.6041864406875471
Degersheim,0.6008545701013533
Riviera,0.6003191375732525
Steffisburg,0.6002782991736559
Grüningen,0.5985182347943958
Himmelried,0.5985182347943958
Sutz-Lattrigen,0.5985182347943958
Simplon,0.5960249740136819
Stammheim,0.5955798127219227
Echallens,0.5953495341604232
Surpierre,0.5916649535484718
Aarwangen,0.5916649535484718
Churwalden,0.5915201304874638
Unterkulm,0.5897494912634403
Hägglingen,0.5896200908192171
Rothrist,0.5893063943679698
Wittenbach,0.5881132897023226
Schötz,0.5861020595170942
Benken (ZH),0.5848221763262066
Zollikon,0.5835662404549928
La Chaux-de-Fonds,0.583289374701602
Schübelbach,0.5829510670823252
Metzerlen-Mariastein,0.582263929481809
Bischofszell,0.5780127083736809
Hindelbank,0.575564899361283
Moiry,0.575564899361283
Villars-le-Terroir,0.575564899361283
Genolier,0.575564899361283
Davos,0.5751810329674717
Bussnang,0.5740888639523604
Saint-Imier,0.5733501523933001
Spreitenbach,0.5709053831170348
Carouge (GE),0.5704282086487215
Rhäzüns,0.5687592129597859
Schmerikon,0.565841953317194
Adelboden,0.5654250075469142
La Ferrière,0.5621384804432517
Yverdon-les-Bains,0.560286699864725
Grenchen,0.5590847739391894
Zuchwil,0.5561872917802004
Trimbach,0.5556013312874982
Frick,0.5532691765300471
Nyon,0.5531846598191961
Lengnau (AG),0.5480533617071591
Grindelwald,0.5474351565406997
Beromünster,0.5465105517584448
Bregaglia,0.5443867691935116
Dulliken,0.5440354464632682
Aesch (LU),0.5409533208061744
Martigny,0.5367560055613637
Glarus Süd,0.5338658263481342
Schüpfheim,0.5320413559130724
Affoltern am Albis,0.5316828429483144
Le Grand-Saconnex,0.5316393576597663
Aigle,0.5272672683001122
Milvignes,0.5265419255563262
Lauterbrunnen,0.5264081433504953
Albinen,0.5255970918611753
Hausen am Albis,0.5252309937973071
Au (SG),0.5248270998170784
Biasca,0.5184106719099255
Troistorrents,0.5182250624100896
Matran,0.5133337944325058
Le Vaud,0.5133337944325058
Gisikon,0.5133337944325058
Emmen,0.5095224398241003
Unterengstringen,0.5062731135594143
Poschiavo,0.5036608403176798
Arbon,0.5017183908740966
Visp,0.49829214318948967
Muttenz,0.4966893482405886
Dübendorf,0.494977517707835
St. Gallen,0.49464205249044063
Meyrin,0.4925139982135279
Campione d'Italia,0.4917310863349352
Ennetbürgen,0.4915956200200811
Rüdtligen-Alchenflüh,0.4910304416078312
Wald (ZH),0.49097363048973375
Saignelégier,0.482957835973351
Seon,0.48062043535570614
Gerzensee,0.4804620900643461
Niederbipp,0.47902118732442583
Reinach (AG),0.4770491110870353
Romoos,0.4766116734928449
Brione sopra Minusio,0.4761382160779519
Mümliswil-Ramiswil,0.47516482017614403
Isérables,0.47501119433692385
Oberdorf (SO),0.47373389922914394
Val Terbi,0.472267202983901
Lumnezia,0.4712831506271981
Silenen,0.4705233388150087
Rheinwald,0.46968320861920215
Gossau (SG),0.46801047583220445
Cazis,0.4676216191881255
Rothenthurm,0.46666876991638473
Capriasca,0.46581369822679947
Kriens,0.46575332638028377
Bichelsee-Balterswil,0.4657169295425654
