locality,trend_score
Ursins,10.0
Pailly,0.7486461552620366
Avusy,0.7472136377482151
Rennaz,0.7251429510791755
Prévondavaux,0.7223837530999578
Crésuz,0.6396343741742311
Lüterswil-Gächliwil,0.629701604426641
Montet (Glâne),0.6077106510899417
Lütschental,0.5562715824500801
Fläsch,0.5377632452086369
Bühler,0.5109955959926836
Zielebach,0.5067301699900794
Les Planchettes,0.47770064525637307
Coinsins,0.4647544055314037
Ependes (VD),0.4568671489402943
Tschappina,0.4557854766304048
Féchy,0.44927401464770667
Oberbuchsiten,0.44000203445572994
Démoret,0.43970593231174815
Dalpe,0.43532310220139697
Brunegg,0.43014165544326305
Cerentino,0.42198544699212265
Courchapoix,0.4205931711306165
Ropraz,0.41454853228503524
Inden,0.4000321997643526
Freimettigen,0.3973130161095465
Corcelles-le-Jorat,0.3939333471045648
Collonges,0.38891041308005836
Bretonnières,0.3828803494095993
Vufflens-la-Ville,0.3791605246563417
Les Genevez (JU),0.3746816578422055
Attiswil,0.37411813991796583
Furna,0.3697299504306049
Rivaz,0.3668112014889408
Cadempino,0.3628536556882748
Provence,0.35960962005451025
L'Abergement,0.3577716099738946
Niederried bei Interlaken,0.34958514575370897
Fontaines-sur-Grandson,0.3476814345111433
Treiten,0.3426008998188803
Arnex-sur-Nyon,0.34238908558825265
Saulcy,0.34209371476405925
Delley-Portalban,0.34201285908240825
Randa,0.334275784858708
Aristau,0.3319321887017259
Grandcour,0.3229098592559586
Meienried,0.3118265289718151
Mont-la-Ville,0.3113414555011256
Corsier-sur-Vevey,0.31125971538829733
Bure,0.31083308478095656
Burg im Leimental,0.3099743890617914
Hofstetten bei Brienz,0.30509854571338896
Chapelle (Glâne),0.3047452088811949
Bellevue,0.3045104469851022
Wiliberg,0.3010456075413007
Courtételle,0.29748625156073505
Mathod,0.2967003224019717
Poliez-Pittet,0.286060552115722
Untervaz,0.2849894192821261
Baltschieder,0.28376716452828155
Göschenen,0.2836961716161378
Alberswil,0.27933771082004044
Champagne,0.278006817062344
Eggersriet,0.27393559827984854
Känerkinden,0.27379962805640473
Mauborget,0.2737727665763194
Pomy,0.2730664941223661
Rossenges,0.27273292826807954
Baulmes,0.27176926797322964
Kappelen,0.26667011173844385
Villars-Sainte-Croix,0.2664345796121311
Recherswil,0.2646592858968536
Iffwil,0.26306752151275287
Vuarrens,0.262258711154878
Oberhallau,0.26181002730013997
Dänikon,0.26149821557609226
Chevilly,0.2613467707252259
Lussy-sur-Morges,0.2594930138267997
Regensberg,0.25785720244599747
Mézières (FR),0.2575182194474872
Cademario,0.25714178360754825
Remetschwil,0.2556850386287229
Plateau de Diesse,0.2556312835285632
Rickenbach (LU),0.2502258998814251
Stansstad,0.24922006363477928
Champvent,0.24871462967717653
Oekingen,0.24700357866609302
Wintersingen,0.2444579110199272
Andwil (SG),0.24412217498896374
Ried bei Kerzers,0.2437114092292477
Schenkon,0.24267783383325778
Schönengrund,0.24263585664621493
Orpund,0.24014665738952704
Veytaux,0.23938004451478911
Ogens,0.23733383560492918
Stettfurt,0.236711091768598
Tobel-Tägerschen,0.2358779780388486
Niederönz,0.23509404027993228
Soazza,0.2340177542133341
Valeyres-sous-Ursins,0.2338306684087441
Bretigny-sur-Morrens,0.2335046285361142
Chessel,0.2332541219986254
Vaux-sur-Morges,0.23265628265580593
Giornico,0.22927515424210318
Weiach,0.22927513280229206
Dierikon,0.22886622129761786
Mollens (VD),0.22883771137913514
Vulliens,0.22795171646204304
Les Enfers,0.2271999412870284
Plan-les-Ouates,0.2271915512216576
Rougemont,0.22675904925956833
Sorens,0.22633801267166048
Dittingen,0.22505086748180508
Unterramsern,0.22414855890983976
La Praz,0.2233589734659489
Zollikofen,0.22261470135630582
Aesch (ZH),0.2224047034382194
Schlatt (ZH),0.22201433445526167
Walperswil,0.22151500219759107
Felben-Wellhausen,0.22049728013077913
Staufen,0.22024051670548625
Fehren,0.22022572488273853
Cormoret,0.21954584199958088
Villorsonnens,0.2180532364114384
Madulain,0.21742675148416155
Henniez,0.21706753462440312
Kleinbösingen,0.2169669755849665
Trient,0.21620194371633064
Hospental,0.21486375197299248
Gibloux,0.2140373109787173
Bühl,0.21384888847958652
Personico,0.2138362788878881
Nuvilly,0.21355878539376613
Pleigne,0.21306757527498701
Tegerfelden,0.21275932625687366
Birr,0.212128202053075
Botterens,0.2116676466473775
Finhaut,0.2114092618855451
Prez,0.21115070515996118
Seftigen,0.2111127534283761
Cugy (FR),0.21110701973750967
Grens,0.210571607019181
Remaufens,0.20982947259090365
Hermrigen,0.20910223872891787
Kriegstetten,0.2089798766396802
Bursins,0.2088941272605111
Orges,0.20883879121338567
Rothenburg,0.2074452518817494
Bonaduz,0.20688520775428243
Duillier,0.20563587644647927
Lengnau (BE),0.20515292415427247
Aranno,0.20480725366364708
Lalden,0.20461880185923603
Ersigen,0.2038071787086033
Saillon,0.20315973026309628
Cronay,0.20312573760283464
Burtigny,0.20268270483000822
Zuzwil (BE),0.20241324501976182
Montpreveyres,0.20240762009624022
Hellsau,0.20212565612303696
Luzein,0.20125001498319886
Tecknau,0.2007562059580229
Laax,0.2006447776784333
Fieschertal,0.19926034957309183
