locality,years_covered,n_obs,annual_growth_pct_poisson,cagr_pct,p_value_year,deviance_explained,trend_score
Ardon,2015-2025,11,15.465634897723014,11.612317403390438,1.0686323563988388e-20,0.8595200762559916,13.29302368663821
Ollon,2014-2025,12,15.440656650003692,13.852987917592108,9.381947141381934e-18,0.8495287835282108,13.117282260754415
Frenkendorf,2014-2025,12,15.038084453630818,13.431252219546263,3.248983807746797e-16,0.8705143172121711,13.090867820331397
Interlaken,2014-2025,12,15.85142919088318,16.16925736639796,1.643842425128972e-15,0.8235757583610294,13.054852816987774
Aubonne,2014-2025,12,13.592461937003453,13.431252219546263,9.081878396221743e-99,0.9531760805147694,12.956009593659141
Vouvry,2014-2025,12,14.906541936687878,17.690395624285273,3.952019059980976e-24,0.8657654999492288,12.905569732330726
Onsernone,2015-2025,11,16.59811235382207,23.11444133449163,8.58126236388012e-09,0.7760653053658053,12.88121913236487
Wilderswil,2014-2025,12,13.997540163471346,13.431252219546263,1.0335384174453146e-37,0.9157775460956709,12.818632982279384
Collonge-Bellerive,2014-2025,12,13.763696024233019,19.35128371696202,1.185382939693119e-27,0.9237371858627701,12.714037832495606
Roche (VD),2019-2025,7,16.520818325744703,12.246204830937302,3.755503520388979e-14,0.7672343515872067,12.675339335842779
Rickenbach (ZH),2014-2025,12,13.997540163471832,13.431252219546263,3.4303847575540703e-34,0.899106456960748,12.585278742544928
Amriswil,2014-2025,12,18.142465373586415,31.303243448788386,3.577928625602707e-06,0.6936528663190127,12.584573108481655
Balsthal,2014-2025,12,15.21415025051407,14.652348684570594,2.724962441322486e-22,0.8258575314085892,12.56472056836892
Manno,2014-2025,12,14.282405580318592,15.755791177065447,4.1076077876970635e-17,0.8729860150312918,12.468340332623013
Sattel,2014-2025,12,14.490835533032055,10.50315033964666,5.105285261785681e-23,0.8590551312227758,12.448426620356514
Savigny,2014-2025,12,14.490835533032055,10.50315033964666,5.105285261785681e-23,0.8590551312227758,12.448426620356514
Val-de-Charmey,2014-2025,12,17.07969934394058,8.007132240229708,2.3611538986880275e-05,0.7263047350887426,12.405066507396134
Bergün Filisur,2014-2025,12,14.19062543543319,9.326244608521828,5.643240122946694e-16,0.872930687665722,12.387432419759381
Savièse,2014-2025,12,13.997540163468614,13.431252219546263,7.208566502859e-36,0.8842998062868263,12.378022055047365
Gampelen,2014-2025,12,13.997540163468724,10.50315033964666,3.153977242353584e-26,0.8812900189285102,12.335892435615934
Cheseaux-Noréaz,2014-2025,12,13.997540163468724,10.50315033964666,3.153977242353584e-26,0.8812900189285102,12.335892435615934
Elgg,2014-2025,10,15.4317976782824,13.431252219546263,1.869362046909748e-13,0.7981616283875628,12.317068763845292
Lyss,2014-2025,12,14.16256426099487,11.047632661965402,1.580217106198963e-32,0.8693332909483209,12.311988597277745
Arlesheim,2014-2025,12,14.876898402971639,14.652348684570594,7.624774139261793e-18,0.8255661491754634,12.281863726215898
Bürglen (UR),2014-2025,12,15.476302033449318,10.50315033964666,4.017603184716641e-11,0.7908428493713041,12.239322797863966
Montfaucon,2014-2025,12,15.038084453637591,10.50315033964666,8.572149917969476e-21,0.8138385426306829,12.238572735705546
Leukerbad,2014-2025,12,13.219060717660259,12.53753617793436,3.024681875772797e-63,0.9176136031595526,12.129989935517132
Liestal,2014-2025,12,13.072289056112197,12.767683903958726,7.187628107309625e-63,0.9277489155943949,12.127801996144566
Saint-Prex,2014-2025,12,14.298289740950644,15.755791177065447,4.112389798538961e-18,0.8427560689926946,12.049970455402137
Konolfingen,2014-2025,12,15.368848762241317,10.50315033964666,7.340354605047392e-13,0.7823001330975563,12.023052432257595
Zuoz,2014-2025,12,14.835889585088523,14.652348684570594,9.23546012238495e-16,0.8095700132804007,12.010691328426674
Birmensdorf (ZH),2014-2025,12,12.732729755944172,12.062609509010835,2.7444423412647003e-30,0.9432399022999308,12.010018771008204
Aedermannsdorf,2014-2025,12,14.881703976319404,15.755791177065447,2.8627033170987537e-14,0.8046558444891393,11.974650080502672
Spiez,2014-2025,12,13.041487374436889,13.93549051581564,5.18187414879321e-27,0.9115501516475767,11.887969793877902
Kradolf-Schönenberg,2015-2025,11,15.035725409411338,17.461894308801895,3.7144530274580045e-08,0.7897933054839958,11.875115271448687
Payerne,2014-2025,12,12.81587950271983,11.153393270949973,1.2158086042717815e-55,0.925526054264379,11.861430388080015
Monteceneri,2014-2025,12,14.194144509573615,13.431252219546263,2.5476163429162873e-21,0.8355491710249836,11.859905678383056
Baar,2014-2025,12,13.24039286405203,14.816610432935917,5.861553134740474e-19,0.8861756723496707,11.733314048475089
Montreux,2014-2025,12,14.159670623437236,13.82109629931132,5.768095173378688e-20,0.825465863603351,11.688324739514616
Kappelen,2014-2025,12,16.94184640441321,13.431252219546263,5.04479068260473e-07,0.6802155437256652,11.524107263694637
Monthey,2014-2025,12,11.904396882902834,12.669624306591597,4.235138747245139e-84,0.9661235868497198,11.50111861579271
Aarburg,2016-2025,10,14.742843211332278,16.652903957611652,5.5893142602709286e-11,0.778473547775618,11.476913459025523
Raron,2014-2025,12,12.542582998583018,12.062609509010835,1.0340634945139286e-26,0.9149967552494563,11.476422746150458
Chur,2014-2025,12,12.649139647120933,14.584021654772993,4.0413355833081963e-25,0.9063354422646771,11.464363576341013
Leissigen,2014-2025,12,14.990200829338107,10.50315033964666,2.0644777658964135e-20,0.7598242975613665,11.38991881545564
Bas-Intyamon,2014-2025,12,14.990200829338107,10.50315033964666,2.0644777658964135e-20,0.7598242975613665,11.38991881545564
Herisau,2014-2025,12,12.23718635784985,14.41835454352236,1.484271418451882e-24,0.9216232598726297,11.278075582790452
Pratteln,2014-2025,12,12.224600672348473,12.349968402959565,1.1023626203916473e-42,0.9131151889106828,11.162468552289136
Böztal,2014-2025,11,14.627812707106735,13.431252219546263,4.497088213742935e-10,0.7616415251495992,11.14114957984346
Eschenz,2014-2025,12,13.083056381116776,13.431252219546263,1.4686253925480005e-11,0.8509046177055795,11.132433088394713
Reichenburg,2021-2025,5,12.725571445412264,13.621936646749933,2.0396104992806705e-08,0.8683614683816436,11.050395906333708
Goms,2014-2025,12,12.174522881804627,11.310171272365043,3.1251349922626865e-19,0.8969935945049067,10.920469041132167
Thusis,2014-2025,12,12.417732419014849,17.690395624285273,5.618409694236573e-12,0.8752043429346368,10.868053342522028
Courrendlin,2019-2025,7,16.520818325744703,25.99210498948732,0.0015378431336301548,0.6523947222731756,10.778094683349806
Wangen an der Aare,2014-2025,12,12.815879502719095,10.50315033964666,5.8358979523611085e-12,0.838826382347759,10.750297839870655
Suhr,2014-2025,12,15.249456889742108,19.35128371696202,6.072720760474204e-08,0.7021200442895195,10.706949346816847
Nuglar-St. Pantaleon,2014-2025,3,10.836496858618672,10.50315033964666,8.435396967026683e-172,0.9877990472652035,10.704281272635894
Walzenhausen,2014-2025,12,13.461658110605267,13.431252219546263,7.589538356592937e-08,0.7951506539823492,10.704046250334573
La Neuveville,2014-2025,12,12.195146004616419,11.310171272365043,4.78102418631597e-21,0.8767132915248532,10.691646594333424
Udligenswil,2014-2020,7,14.85847955839461,12.246204830937302,4.1885121085936616e-09,0.719142607769423,10.685365737112564
Eschenbach (LU),2014-2025,12,12.022157294602742,15.755791177065447,4.798146922676093e-18,0.8825317061953064,10.609934989354107
Utzenstorf,2014-2025,12,15.237462443875827,17.690395624285273,2.1859249366197466e-07,0.6961864974419251,10.608115608704788
Bättwil,2018-2025,8,14.146722414950098,10.408951367381224,6.321611125254462e-14,0.7494385450879253,10.602099064422942
Lostorf,2018-2025,8,14.146722414950098,10.408951367381224,6.321611125254462e-14,0.7494385450879253,10.602099064422942
Genève,2014-2025,12,11.108056211477502,13.015914660236216,1.2903295370464892e-47,0.9499203115215202,10.551768216805266
Eggenwil,2021-2025,5,18.378028498572398,18.920711500272102,0.011158359350039582,0.5735400488218252,10.540535362320108
Fiez,2021-2025,5,18.378028498572398,18.920711500272102,0.011158359350039582,0.5735400488218252,10.540535362320108
Fürstenau,2016-2025,10,14.308647530066354,12.983096390975302,8.607253951677348e-07,0.7278492703874513,10.414538664990003
Avusy,2018-2025,8,13.799288337848047,10.408951367381224,5.290053503459607e-14,0.754061480353199,10.405511791858332
Calanca,2018-2025,8,13.799288337848047,10.408951367381224,5.290053503459607e-14,0.754061480353199,10.405511791858332
Rossa,2018-2025,8,13.799288337848047,10.408951367381224,5.290053503459607e-14,0.754061480353199,10.405511791858332
Massongex,2018-2025,8,13.799288337848026,10.408951367381224,5.290053503459818e-14,0.7540614803531985,10.405511791858311
Lamone,2017-2025,9,13.250476860408899,14.72026904398771,6.030916288122024e-11,0.7835727881310274,10.382713097576262
San Vittore,2014-2025,12,13.997540163471566,10.50315033964666,9.503872897624355e-16,0.7360931000102647,10.303492731447973
Muolen,2021-2025,5,13.411859275355976,10.668191970032147,1.999606370742893e-10,0.7681294751431009,10.302044425872316
Crans (VD),2021-2025,5,13.411859275355976,10.668191970032147,1.999606370742893e-10,0.7681294751431009,10.302044425872316
Lens,2014-2025,12,14.093114861366463,15.755791177065447,5.83526720226847e-09,0.7303691612946263,10.293176481325057
Buchs (AG),2014-2025,12,12.966498298586604,20.80894444044472,4.845578884677809e-10,0.7924063001608659,10.274734942825173
Marbach (SG),2014-2025,12,14.29828974095102,15.755791177065447,1.2851692456590746e-09,0.7106482115067764,10.161054032012531
Meinier,2022-2025,4,18.871858381670958,25.99210498948732,0.034930368128326755,0.5344632854418019,10.086315433060266
Habkern,2014-2025,12,13.143404176689666,10.50315033964666,2.4456559681513526e-14,0.7655418402037943,10.061825819965243
Goldach,2014-2025,12,12.53001128087259,13.431252219546263,8.699470235853472e-12,0.7976104696678243,9.994068182679923
Derendingen,2014-2025,12,12.080696493806698,11.566659923517264,1.4564804504998353e-21,0.8269882178053783,9.990593663260885
Chavannes-près-Renens,2014-2025,12,11.794410984399795,14.652348684570594,3.404331587392028e-15,0.8469668282182177,9.9894748621592
Bullet,2014-2025,12,11.51704195126213,8.68669042424839,1.1924679858966172e-14,0.8672248777818423,9.98786529859165
Bex,2014-2025,12,11.626651446065539,13.431252219546263,4.258382879724232e-13,0.857745637155804,9.972709552593935
Bulle,2014-2025,12,11.06285521300283,9.930440972074429,5.2802575154104175e-15,0.8973166676297927,9.92688437420258
Val-de-Travers,2014-2025,12,11.38331117232676,15.755791177065447,2.3562840307423726e-13,0.8685888365959697,9.887417007781204
Pontresina,2014-2025,12,11.04497907938713,10.50315033964666,7.586285890807963e-15,0.884774538964938,9.772316272842133
Riederalp,2014-2025,12,12.126071135820983,7.650634159907366,3.285122891783865e-09,0.7930731262562516,9.616861144891242
Seftigen,2014-2025,12,13.997540163473253,13.431252219546263,2.812766077925715e-08,0.6830342013000774,9.56079866572371
Hüntwangen,2017-2025,9,12.473423108510318,9.05077326652577,5.382923461603866e-17,0.7613877961117643,9.497112130558223
St. Moritz,2014-2025,12,9.943752786929272,9.117200161911597,6.842578579106935e-53,0.9515426281277324,9.461904660327143
Valbirse,2014-2025,12,11.666104524217813,10.50315033964666,1.240510200499973e-13,0.8107855755523243,9.458709271121513
Hofstetten bei Brienz,2014-2025,12,11.666104524217813,10.50315033964666,1.240510200499973e-13,0.8107855755523243,9.458709271121513
Jorat-Mézières,2014-2025,12,13.997540163406995,10.50315033964666,5.607463490733332e-10,0.6694184050742682,9.370211011150923
Biel/Bienne,2014-2025,12,10.01625102572592,9.901008436656866,2.7828294849614083e-36,0.9340058474582079,9.355237027637282
Thônex,2014-2025,12,15.149193500583058,10.50315033964666,3.4405489629066366e-09,0.6170591782548003,9.347948892692743
Schenkon,2014-2025,12,11.249979042781977,10.50315033964666,1.802566122655994e-17,0.8260085110110409,9.292578438033756
Stein (AR),2014-2025,12,11.249979042781977,10.50315033964666,1.802566122655994e-17,0.8260085110110409,9.292578438033756
Le Chenit,2014-2025,12,11.35415878645658,15.755791177065447,3.133095326890335e-08,0.8086017535337127,9.180992704629002
Giornico,2014-2025,12,11.383311172326671,13.431252219546263,1.762396435986664e-13,0.8027596678739575,9.138063096002869
Rüttenen,2014-2025,12,10.073416170134575,8.68669042424839,2.3940027108778503e-30,0.9068052668300102,9.134626838048622
La Tour-de-Peilz,2014-2025,12,13.541033416662017,15.755791177065447,2.588071515548632e-05,0.6709645638972704,9.085553581128996
Opfikon,2014-2025,12,9.743413935242495,8.505540903967269,3.1129162248105166e-31,0.9320963442322375,9.081800509380969
Saint-Sulpice (VD),2014-2025,12,12.722762660275055,5.219047997422743,7.536118490119735e-05,0.710502922711392,9.039560055088792
Zofingen,2014-2025,12,13.85267329907196,19.35128371696202,1.4125793855613586e-05,0.6502708483880787,9.007989618630408
Hochdorf,2014-2025,12,10.327462193899972,7.650634159907366,6.50894525983572e-24,0.8719219758488683,9.004741241609752
Sembrancher,2021-2025,5,12.305943611703164,10.668191970032147,1.6017052377774756e-07,0.7279468986477455,8.958073487073355
Bussigny,2014-2025,12,11.532801393279591,10.50315033964666,4.762632551119568e-08,0.7764579764845514,8.954735633024086
Niederwil (AG),2014-2025,12,11.666104524218191,15.755791177065447,3.2236709840080583e-07,0.76645238443166,8.94151362961601
Ferden,2014-2025,12,10.696632752687485,10.50315033964666,2.4040886987746873e-20,0.8288435518895954,8.865835083996075
Lonay,2014-2025,12,10.696632752687485,10.50315033964666,2.4040886987746873e-20,0.8288435518895954,8.865835083996075
Saanen,2014-2025,12,10.589149811873,8.284091791636827,7.856093518457157e-09,0.8370946080801905,8.864120211672253
Entlebuch,2014-2025,12,11.046300926771902,12.062609509010835,9.99199849855051e-12,0.8011858312075437,8.850139789784407
Ottenbach,2014-2025,12,10.801602411366428,10.50315033964666,2.5040115975162344e-12,0.8171474721654617,8.826502105784432
Les Bois,2014-2025,12,12.04599713175869,13.431252219546263,2.9309194971482626e-11,0.7313784618973784,8.810182854245902
Dachsen,2016-2025,10,11.653268683732554,12.983096390975302,2.025772369133773e-07,0.7551450685176914,8.799908378632287
Delémont,2014-2025,12,13.141790708679736,21.147371363481525,5.0708863197722036e-06,0.668150704432468,8.780696719508429
Eglisau,2015-2025,11,15.193230172429416,7.177346253629313,0.0003805462593796058,0.5764976536766602,8.758861546174998
Safiental,2014-2025,12,10.160872574252444,8.68669042424839,5.3790691577278855e-25,0.8602890533569414,8.741287448184144
Chêne-Bougeries,2014-2025,12,10.08280992764401,13.431252219546263,4.586207137559514e-14,0.8645483389906534,8.7170765753031
Buchs (SG),2014-2025,12,9.32617637605162,8.68669042424839,4.854621442779372e-31,0.9302381658691954,8.675565206630878
Ronco sopra Ascona,2014-2025,12,13.99754016347905,20.80894444044472,2.177592159960526e-05,0.6190274999835788,8.664862293318171
Pully,2014-2025,12,10.886059412256287,7.174210421216598,2.9545203936107563e-13,0.794208674225455,8.645802813347602
Vaz/Obervaz,2014-2025,12,9.334775217778102,8.837647070945408,1.4003514242120788e-44,0.9233227972059294,8.619010765367465
Vuisternens-devant-Romont,2014-2025,12,12.747391474896276,10.50315033964666,2.8213630678524105e-07,0.6738653556797012,8.59002549021937
Wil (SG),2014-2025,12,11.319752540912509,19.857100133836436,1.0191096391192985e-07,0.757850932308329,8.578685016630121
Schiers,2014-2025,12,11.022324834752762,15.755791177065447,3.771095683436401e-09,0.7740653405088849,8.531999626412436
Lutzenberg,2015-2025,11,12.346933248527314,11.612317403390438,5.768538807001234e-06,0.6894082258888723,8.512077346035547
Disentis/Mustér,2014-2025,12,10.943227675529421,14.259657515542479,1.6446255483945947e-08,0.7773895117424707,8.507150419566509
Huttwil,2014-2025,12,12.593693458704713,20.80894444044472,2.817680259794422e-06,0.6748238791353058,8.49852507244404
Andermatt,2014-2025,12,9.457724376120868,7.430929827963428,1.4531505769176333e-20,0.8983426792316218,8.49627745547864
Altstätten,2014-2025,12,10.447283394729556,13.431252219546263,6.179559354015357e-11,0.8117747029911597,8.48084037482106
La Punt Chamues-ch,2019-2025,7,10.610474882899323,12.246204830937302,2.446505754689004e-09,0.7959275080338986,8.44516883260233
Rheinfelden,2014-2025,12,9.722491197384088,14.05813509062337,1.7655113016370648e-10,0.8662401055170835,8.422011800710909
Auenstein,2016-2025,10,11.164415062979183,8.00597388923061,7.266798898933921e-18,0.7538667102082836,8.416480854927924
Böttstein,2015-2025,11,10.749554800106399,11.612317403390438,7.221622577287646e-13,0.7808449370570444,8.393735441280331
Niederlenz,2014-2025,12,11.053600518062057,17.690395624285273,5.7414543077695796e-08,0.7562383121607091,8.35915619907799
Fribourg,2014-2025,12,8.706742011102286,9.157057259597124,4.620928541192537e-57,0.9596683288012934,8.355584555098542
Chêne-Bourg,2014-2025,12,9.757974297865225,10.50315033964666,2.1618518548698763e-21,0.8559225227424752,8.352069977885035
Stocken-Höfen,2014-2025,12,10.379681701715038,10.50315033964666,2.0524750172518443e-16,0.8035156535979799,8.34023672669255
Le Landeron,2014-2025,12,8.684784986504734,9.632504585723002,1.3536383122364866e-69,0.9585219070883964,8.324556667917191
Agno,2014-2025,12,9.04377680353412,8.68669042424839,2.1843089575760838e-38,0.9199809519485729,8.320102392925742
Noble-Contrée,2014-2025,12,10.132157980579027,10.50315033964666,1.3552955473388002e-14,0.8208478024779414,8.316959612717632
Bottighofen,2014-2025,12,9.03105135583564,8.68669042424839,1.0104264016441789e-37,0.913650807285947,8.25122736190008
Surses,2014-2025,12,9.737886282577946,8.284091791636827,1.491934398971541e-16,0.8472663655370227,8.250583518652645
Jegenstorf,2014-2025,12,10.257549512474572,10.50315033964666,7.25709365078895e-16,0.8031244582659987,8.2380888953428
Silvaplana,2014-2025,12,8.531548289316614,8.68669042424839,3.6182602662949997e-50,0.9610811134433518,8.199509929292134
Saas-Balen,2014-2025,12,12.982667752547194,6.504108943996267,3.1294078245725446e-07,0.6278284078454329,8.15088762466795
Dietlikon,2014-2025,12,9.275879074728843,9.632504585723002,1.107839994553297e-27,0.8709136008379821,8.078489245909786
Gunzgen,2014-2025,12,10.545432295361579,10.50315033964666,6.502217406598785e-10,0.7652908930554112,8.070323298972637
Seeberg,2014-2025,12,10.545432295361579,10.50315033964666,6.502217406598785e-10,0.7652908930554112,8.070323298972637
Vallorbe,2014-2025,12,10.975955483211752,5.4888581454047625,1.3570392138515912e-05,0.7270641387124696,7.98022361994776
Gretzenbach,2015-2025,11,10.280192112562926,11.612317403390438,2.504487601070989e-08,0.7754203530784568,7.9714701976379105
Zermatt,2014-2025,12,9.408186258206275,8.220804555058647,8.448702849276694e-21,0.8466668016227529,7.965598968306642
Unterseen,2014-2025,12,9.62062381007318,6.504108943996267,2.595411129587445e-12,0.8265625320764517,7.952047176609088
Safenwil,2014-2025,12,10.269509116862508,13.431252219546263,3.0563047500483415e-10,0.7733491645817866,7.941916296190662
Laufen,2014-2025,12,11.75544715052428,26.260521121965308,3.931310000543181e-06,0.6726915318435455,7.907789751192019
